country,Response,TaskID
Lithuania,abundance,1
Lithuania,E10,2
Lithuania,F_turnover,3
Lithuania,FDis,4
Lithuania,FEve,5
Lithuania,FRed,6
Lithuania,FRic,7
Lithuania,shannonsH,8
Lithuania,spp_rich_rare,9
Lithuania,spp_richness,10
Lithuania,turnover,11
Lithuania,FRic.SES,12
Lithuania,FEve.SES,13
Lithuania,FDis.SES,14
Lithuania,ept_spp_richness,15
Lithuania,ept_abundance,16
Lithuania,diptera_spp_richness,17
Lithuania,diptera_abundance,18
Lithuania,insect_spp_richness,19
Lithuania,insect_abundance,20
Lithuania,mollusc_spp_richness,21
Lithuania,mollusc_abundance,22
Lithuania,annelid_spp_richness,23
Lithuania,annelid_abundance,24
Lithuania,crustacea_spp_richness,25
Lithuania,crustacea_abundance,26
