,Response,probIncrease,probDecrease
1,spp_richness,1,0
2,spp_rich_rare,1,0
3,shannonsH,1,0
4,E10,0,1
5,abundance,0.985,0.015
6,turnover,1,0
7,F_turnover,0.189,0.811
8,FRic,1,0
9,FEve,0.6086,0.3914
10,FDis,0.9848,0.0152
11,FRic.SES,0.9036,0.0964
12,FDis.SES,0.3453,0.6547
13,FEve.SES,0.2863,0.7137
14,FRed,0.9988,0.0012
15,ept_richness,0.9998,2.00E-04
16,ept_abundance,0.9794,0.0206
17,diptera_richness,1,0
18,diptera_abundance,0.7657,0.2343
19,insect_richness,0.992,0.008
20,insect_abundance,0.4068,0.5932
21,mollusc_richness,1,0
22,mollusc_abundance,1,0
23,annelid_richness,1,0
24,annelid_abundance,1,0
25,crustacea_richness,1,0
26,crustacea_abundance,1,0
