"","Response","probIncrease","probDecrease"
"1","spp_richness",1,0
"2","spp_rich_rare",0,1
"3","shannonsH",1,0
"4","E10",0,1
"5","abundance",0.987,0.013
"6","turnover",1,0
"7","F_turnover",0.189,0.811
"8","FRic",1,0
"9","FEve",0.6086,0.3914
"10","FDis",0.9848,0.0152
"11","FRed",0.9988,0.0012
"12","ept_richness",1,0
"13","ept_abundance",0.9795,0.0205
"14","diptera_richness",1,0
"15","diptera_abundance",0.7482,0.2518
"16","insect_richness",1,0
"17","insect_abundance",0.9697,0.0303
"18","mollusc_richness",1,0
"19","mollusc_abundance",1,0
"20","annelid_richness",1,0
"21","annelid_abundance",1,0
"22","crustacea_richness",1,0
"23","crustacea_abundance",1,0
